cliente_id,ciudad,plan,tipo_contrato,metodo_pago,antiguedad_meses,cargo_mensual,cargo_total,llamadas_soporte,tiene_fibra,satisfaccion,fecha_alta,pais,abandono
CLI-000761,Bogotá,Básico,Un año,Transferencia,13,72.32,961.67,2,0,6.9,2019-06-05,Colombia,No
CLI-002226,Cali,Estándar,Un año,Tarjeta,44,76.69,3075.64,0,1,9.7,2022-12-08,Colombia,No
CLI-000597,Bogotá,Básico,Dos años,Efectivo,42,57.68,2284.95,1,0,7.9,2020-12-05,Colombia,No
CLI-000373,Medellín,Básico,Mes a mes,Transferencia,30,42.07,1258.74,0,1,7.2,2022-11-10,Colombia,Sí
CLI-000475,Bogotá,Estándar,Mes a mes,Débito automático,46,36.25,1733.66,0,0,6.2,2023-09-29,Colombia,No
CLI-000187,Cali,Estándar,Mes a mes,Débito automático,12,67.02,825.82,0,1,6.0,2020-04-29,Colombia,Sí
CLI-002109,Bogotá,Premium,Mes a mes,Débito automático,20,82.27,1560.85,2,1,8.0,2019-07-23,Colombia,Sí
CLI-000613,Bogotá,Estándar,Un año,Transferencia,56,20.56,1249.19,0,0,8.4,2020-10-24,Colombia,No
CLI-002321, bogotá ,Básico,Dos años,Efectivo,8,79.38,686.44,5,0,,2021-01-06,Colombia,No
CLI-002777,Bucaramanga,Premium,Un año,Efectivo,38,75.11,2823.3,1,1,8.4,2020-09-11,Colombia,Sí
CLI-002365,Barranquilla,Básico,Mes a mes,Tarjeta,54,61.77,3086.29,1,1,5.4,2022-11-28,Colombia,No
CLI-000431,Barranquilla,Básico,Un año,Efectivo,6,95.61,564.46,1,1,9.6,2023-03-22,Colombia,No
CLI-000733,Barranquilla,Premium,Mes a mes,Débito automático,66,45.02,3193.26,1,0,8.0,2021-05-11,Colombia,No
CLI-000122,Bogotá,Estándar,Un año,Tarjeta,48,66.17,3263.17,1,0,6.5,2022-04-27,Colombia,No
CLI-002394,Bogotá,Básico,Un año,Débito automático,16,61.29,995.73,2,0,5.1,2021-06-14,Colombia,No
CLI-000207,Bogotá,Básico,Mes a mes,Tarjeta,55,75.6,4513.3,1,0,6.4,2023-02-11,Colombia,No
CLI-000849,Bogotá,Premium,Mes a mes,Tarjeta,59,102.28,6349.95,0,1,6.0,2021-12-06,Colombia,No
CLI-002536,Bogotá,Básico,Mes a mes,Débito automático,70,53.03,3773.28,1,0,5.2,2022-06-06,Colombia,No
CLI-000421,Bogotá,Estándar,Mes a mes,Débito automático,66,88.12,5251.95,4,1,9.7,2023-10-01,Colombia,No
CLI-002335,Barranquilla,Estándar,Mes a mes,Transferencia,40,33.07,1290.37,1,1,10.0,2023-04-02,Colombia,No
CLI-002066,Bogotá,Básico,Mes a mes,Débito automático,37,109.21,4180.03,0,0,6.5,2023-04-02,Colombia,No
CLI-000872,Bogotá,Estándar,Dos años,Transferencia,15,31.19,466.88,2,1,8.2,2020-12-19,Colombia,No
CLI-002208,Bogotá,Básico,Mes a mes,Tarjeta,60,42.49,2784.04,1,1,8.8,2022-06-14,Colombia,No
CLI-001696,Medellín,Estándar,Un año,Efectivo,49,50.59,2423.48,2,0,9.2,2022-06-30,Colombia,No
CLI-002315,Bogotá,Premium,Mes a mes,Transferencia,17,97.26,1627.91,3,1,8.1,2020-09-24,Colombia,No
CLI-000276,Bogotá,Básico,Un año,Efectivo,35,92.87,3184.0,2,0,7.6,2021-06-06,Colombia,No
CLI-001982,Cali,Básico,Dos años,Efectivo,45,71.16,2941.08,0,1,5.7,2019-08-31,Colombia,No
CLI-002466,Medellín,Básico,Un año,Efectivo,14,92.21,1240.85,2,0,7.1,2019-01-06,Colombia,No
CLI-000855,Medellín,Estándar,Mes a mes,Transferencia,21,82.4,1840.66,0,1,3.2,2021-02-09,Colombia,Sí
CLI-001644,Barranquilla,Básico,Mes a mes,Tarjeta,43,96.32,4224.04,0,0,7.7,2020-02-11,Colombia,No
CLI-002836,Bogotá,Premium,Un año,Débito automático,39,81.28,2904.6,0,1,9.0,2020-05-27,Colombia,No
CLI-001478,Barranquilla,Estándar,Un año,Transferencia,28,105.54,3030.35,2,1,6.6,2023-07-03,Colombia,Sí
CLI-001671,Bogotá,Básico,Dos años,Débito automático,55,86.71,,1,0,9.6,2020-03-04,Colombia,No
CLI-000126,Bogotá,Premium,Mes a mes,Débito automático,41,29.48,1209.09,2,0,6.9,2020-08-26,Colombia,No
CLI-002738,Medellín,Estándar,Mes a mes,Débito automático,14,29.02,,1,1,10.0,2020-10-22,Colombia,No
CLI-001272,Barranquilla,,Mes a mes,Tarjeta,8,37.45,277.74,0,1,4.2,2019-12-27,Colombia,No
CLI-001172,Cali,Básico,Mes a mes,Tarjeta,45,45.34,2185.74,3,1,4.2,2020-09-08,Colombia,No
CLI-000281,Cali,Premium,Un año,Efectivo,20,60.28,1208.04,1,0,7.4,2021-12-06,Colombia,No
CLI-001734,Bogotá,Básico,Un año,Efectivo,62,40.49,2647.89,0,1,7.0,2019-06-27,Colombia,No
CLI-002822,Medellín,Estándar,Un año,Débito automático,59,18.0,1000.8,1,0,8.3,2023-02-27,Colombia,No
CLI-001970,Cali,Básico,Mes a mes,Efectivo,11,89.81,985.03,1,1,6.5,2020-01-11,Colombia,Sí
CLI-002397,Bogotá,Estándar,Dos años,Tarjeta,68,41.27,2788.88,2,0,8.3,2020-03-02,Colombia,No
CLI-000853,Bogotá,,Dos años,Efectivo,69,104.22,7535.9,2,1,7.9,2022-06-18,Colombia,Sí
CLI-002915,Bogotá,Premium,Un año,Transferencia,29,91.89,2618.41,0,1,6.0,2020-10-30,Colombia,Sí
CLI-002289,Medellín,Básico,Un año,Tarjeta,67,51.83,3499.63,2,1,7.9,2023-06-09,Colombia,No
CLI-000486,Bogotá,Básico,Mes a mes,Transferencia,17,24.93,436.41,1,1,7.4,2021-05-10,Colombia,No
CLI-002979,Bogotá,Estándar,Mes a mes,Efectivo,21,35.06,752.91,0,1,,2020-06-30,Colombia,Sí
CLI-000998,Bogotá,Básico,Dos años,Efectivo,26,54.89,1327.7,1,0,5.9,2022-11-14,Colombia,No
CLI-000695,Cali,Estándar,Dos años,Transferencia,7,75.61,483.89,0,1,9.5,2023-04-19,Colombia,No
CLI-000376,Cali,Básico,Un año,Débito automático,7,72.2,538.01,1,0,7.9,2020-01-05,Colombia,No
CLI-002932,Medellín,,Un año,Tarjeta,48,102.02,5102.64,3,0,7.5,2019-06-11,Colombia,No
CLI-002377,Bogotá,Premium,Dos años,Transferencia,61,84.45,5005.91,1,1,6.4,2020-06-30,Colombia,No
CLI-000706,Cali,,Mes a mes,Transferencia,41,101.18,3822.62,1,1,2.9,2021-05-03,Colombia,Sí
CLI-002203,Medellín,Básico,Dos años,Tarjeta,3,59.26,168.8,2,0,10.0,2021-03-20,Colombia,No
CLI-002764,Cali,Básico,Un año,Efectivo,3,40.19,,0,0,7.5,2021-06-10,Colombia,No
CLI-002471,Medellín,,Dos años,Débito automático,64,43.59,2662.3,1,0,3.2,2019-10-17,Colombia,No
CLI-002590,Bogotá,Básico,Un año,Efectivo,25,71.53,1737.6,1,1,6.9,2022-07-15,Colombia,Sí
CLI-001003,Bogotá,Básico,Mes a mes,Débito automático,40,66.13,2765.64,2,1,6.1,2020-11-21,Colombia,No
CLI-001991,Bogotá,Estándar,Mes a mes,Efectivo,38,30.47,1183.93,1,1,6.9,2021-05-02,Colombia,Sí
CLI-001562,Medellín,Estándar,Mes a mes,Efectivo,19,107.53,2045.49,2,1,6.6,2021-03-12,Colombia,No
CLI-002091,Bogotá,Básico,Un año,Transferencia,64,51.43,,1,0,7.2,2022-09-26,Colombia,No
CLI-002931,Medellín,Básico,Mes a mes,Transferencia,13,74.56,1060.17,1,0,7.2,2021-03-27,Colombia,No
CLI-001266,Bogotá,Básico,Mes a mes,Efectivo,3,60.73,191.45,2,1,7.9,2023-10-01,Colombia,Sí
CLI-001503,Bogotá,Premium,Un año,Efectivo,17,77.61,1291.71,1,1,9.2,2023-09-07,Colombia,No
CLI-002220,Medellín,Básico,Un año,Efectivo,14,71.99,1035.86,2,1,10.0,2019-09-20,Colombia,No
CLI-001402,Bogotá,,Mes a mes,Débito automático,18,85.82,1475.94,2,0,9.3,2021-08-17,Colombia,No
CLI-001497,Medellín,Básico,Mes a mes,Débito automático,40,83.28,3627.44,0,1,9.0,2021-07-09,Colombia,No
CLI-001510,Medellín,Básico,Mes a mes,Débito automático,49,69.19,3568.15,1,1,2.6,2023-04-11,Colombia,Sí
CLI-002286,Bogotá,Básico,Mes a mes,Efectivo,60,60.83,3923.22,3,1,6.5,2019-05-17,Colombia,No
CLI-000940,Medellín,Estándar,Dos años,Tarjeta,37,84.72,2936.69,3,0,7.7,2019-08-22,Colombia,No
CLI-001917,Medellín,Básico,Dos años,Tarjeta,21,85.63,1668.61,1,1,9.4,2021-12-09,Colombia,No
CLI-000100,Bogotá,Básico,Mes a mes,Transferencia,10,66.35,599.93,2,1,6.1,2019-07-25,Colombia,No
CLI-000994,Bogotá,Premium,Un año,Transferencia,31,49.31,1498.69,2,0,5.3,2023-07-27,Colombia,No
CLI-001926,Barranquilla,,Mes a mes,Transferencia,10,80.65,872.34,3,0,7.3,2023-03-21,Colombia,No
CLI-001496,Medellín,Estándar,Mes a mes,Tarjeta,31,44.55,,1,1,7.4,2019-02-22,Colombia,No
CLI-000752,Bucaramanga,Premium,Mes a mes,Tarjeta,11,94.49,1130.84,0,1,10.0,2021-11-17,Colombia,No
CLI-002145,Cali,,Mes a mes,Transferencia,26,71.75,1951.24,3,0,,2020-08-20,Colombia,No
CLI-002179,Bogotá,Básico,Un año,Transferencia,45,75.93,3668.44,2,1,9.1,2021-08-04,Colombia,No
CLI-002375,Barranquilla,Básico,Un año,Débito automático,50,105.78,4968.9,2,1,6.3,2020-01-07,Colombia,No
CLI-000181,Bogotá,Básico,Mes a mes,Débito automático,67,33.22,2180.71,0,0,10.0,2022-10-21,Colombia,No
CLI-002259,Bogotá,Básico,Mes a mes,Débito automático,1,81.38,83.34,3,1,6.1,2019-09-30,Colombia,Sí
CLI-001415,Medellín,Estándar,Mes a mes,Débito automático,42,72.92,2836.92,2,0,10.0,2023-02-19,Colombia,No
CLI-000677,Bucaramanga,Básico,Dos años,Transferencia,42,76.22,3488.98,0,1,9.3,2020-08-17,Colombia,No
CLI-001759,Barranquilla,Básico,Dos años,Efectivo,41,125.85,4795.18,0,0,6.0,2022-08-13,Colombia,No
CLI-002511,Medellín,Básico,Mes a mes,Transferencia,15,30.91,473.84,2,1,8.8,2023-04-17,Colombia,No
CLI-002487,Bogotá,Estándar,Un año,Tarjeta,18,102.7,1777.61,1,1,6.3,2019-05-27,Colombia,No
CLI-000825,Medellín,Básico,Mes a mes,Transferencia,45,81.46,4019.3,2,0,6.7,2022-11-09,Colombia,Sí
CLI-000604,Medellín,Estándar,Un año,Transferencia,10,79.49,848.06,0,1,7.3,2021-02-25,Colombia,No
CLI-000985,Medellín,Básico,Un año,Tarjeta,42,90.48,,1,1,9.4,2023-11-20,Colombia,No
CLI-002166,Cali,Básico,Mes a mes,Transferencia,66,120.55,8387.82,1,1,6.0,2020-08-22,Colombia,No
CLI-001954,Medellín,Estándar,Dos años,Tarjeta,34,61.05,1896.71,1,1,6.3,2022-08-25,Colombia,No
CLI-002737,Barranquilla,Premium,Un año,Efectivo,41,77.08,2980.24,0,1,,2022-12-22,Colombia,No
CLI-000963,Bogotá,Básico,Un año,Débito automático,60,108.75,6286.5,2,1,7.1,2019-06-25,Colombia,No
CLI-002224,Medellín,Estándar,Mes a mes,Efectivo,31,58.79,1763.89,3,0,9.2,2021-05-14,Colombia,Sí
CLI-002004, bogotá ,Premium,Un año,Efectivo,33,35.47,1199.62,3,0,10.0,2020-12-30,Colombia,No
CLI-002752,Bogotá,Estándar,Mes a mes,Transferencia,6,77.52,511.42,0,1,5.6,2021-08-02,Colombia,Sí
CLI-000652,Bucaramanga,Básico,Dos años,Transferencia,47,82.41,3599.47,1,1,9.3,2022-01-21,Colombia,No
CLI-002160,Medellín,Premium,Dos años,Transferencia,24,63.36,1453.82,1,1,6.9,2023-09-20,Colombia,No
CLI-000428,Bogotá,Básico,Dos años,Tarjeta,58,74.99,4715.58,0,1,8.1,2019-04-22,Colombia,No
CLI-001749,Cali,Estándar,Un año,Débito automático,58,95.52,5707.13,3,0,,2023-01-24,Colombia,No
CLI-000929,Bucaramanga,Estándar,Mes a mes,Tarjeta,30,98.08,2735.96,1,0,9.4,2021-03-13,Colombia,No
CLI-002406,Barranquilla,Estándar,Un año,Débito automático,59,42.69,2743.06,1,0,9.2,2022-06-30,Colombia,No
CLI-002605,Bucaramanga,Estándar,Mes a mes,Transferencia,54,74.54,4042.88,0,1,9.8,2020-03-08,Colombia,No
CLI-001052,Cali,Estándar,Un año,Débito automático,26,112.67,3026.14,0,1,7.2,2022-08-18,Colombia,No
CLI-002207,Cali,Estándar,Mes a mes,Tarjeta,10,70.24,644.24,0,1,8.7,2020-12-30,Colombia,Sí
CLI-000357,Bucaramanga,Básico,Dos años,Efectivo,11,86.61,1026.85,1,0,10.0,2023-01-13,Colombia,Sí
CLI-002593,Bogotá,Premium,Dos años,Tarjeta,38,79.98,,0,1,8.7,2023-07-14,Colombia,No
CLI-002507,Medellín,Básico,Mes a mes,Débito automático,33,45.13,1482.97,1,0,5.8,2021-05-29,Colombia,No
CLI-001190,Bogotá,Básico,Un año,Transferencia,1,129.82,125.95,1,1,6.2,2020-09-19,Colombia,No
CLI-001239, bogotá ,Premium,Mes a mes,Tarjeta,22,79.83,,1,1,5.3,2021-06-23,Colombia,Sí
CLI-002812,Bucaramanga,Básico,Un año,,21,42.93,910.63,2,0,4.7,2022-01-13,Colombia,No
CLI-002837,Medellín,Estándar,Dos años,Débito automático,69,63.46,4446.4,1,1,8.1,2021-11-11,Colombia,No
CLI-000805,Bucaramanga,Estándar,Dos años,Débito automático,53,81.94,4315.22,1,1,9.2,2022-07-10,Colombia,No
CLI-002155,Bogotá,Estándar,Dos años,Débito automático,51,23.68,1113.29,0,0,8.5,2022-10-07,Colombia,No
CLI-001210,Cali,Estándar,Mes a mes,Tarjeta,69,53.61,3431.14,0,0,10.0,2021-04-15,Colombia,No
CLI-001885,Medellín,Estándar,Un año,Transferencia,44,33.29,1416.22,1,0,7.6,2022-01-26,Colombia,No
CLI-001814,Medellín,Básico,Dos años,Efectivo,36,60.57,2162.87,0,0,,2023-09-23,Colombia,No
CLI-000728,Barranquilla,Estándar,Un año,Débito automático,7,58.29,428.66,1,1,7.0,2022-04-05,Colombia,No
CLI-000639,Medellín,Estándar,Un año,Tarjeta,57,24.8,1330.83,1,1,9.6,2022-01-09,Colombia,No
CLI-000659,Cali,Estándar,Un año,Débito automático,6,75.38,432.09,0,0,3.4,2019-08-04,Colombia,No
CLI-002337, bogotá ,Básico,Mes a mes,Efectivo,33,28.51,977.41,0,1,8.6,2020-05-14,Colombia,No
CLI-000173,Bogotá,Básico,Mes a mes,Tarjeta,55,73.65,4232.16,2,1,1.5,2020-06-10,Colombia,No
CLI-001011,Bogotá,Básico,Mes a mes,Débito automático,20,58.47,1058.91,0,0,5.3,2022-01-14,Colombia,No
CLI-002137,Medellín,Básico,Mes a mes,Débito automático,39,59.31,2397.38,2,1,7.3,2023-05-07,Colombia,No
CLI-002351,Cali,Estándar,Mes a mes,Transferencia,39,76.69,3205.92,2,0,7.0,2020-08-01,Colombia,No
CLI-000111,Bucaramanga,Básico,Mes a mes,Transferencia,20,70.63,1280.77,2,1,6.9,2022-11-17,Colombia,No
CLI-000071,Bogotá,Básico,Mes a mes,Efectivo,57,83.88,4739.63,0,1,6.9,2022-05-15,Colombia,No
CLI-001426,Bucaramanga,Básico,Mes a mes,Débito automático,58,77.59,4869.26,1,1,7.3,2022-03-27,Colombia,No
CLI-002866,Bogotá,Premium,Mes a mes,Transferencia,3,58.94,174.92,1,1,8.2,2021-09-29,Colombia,Sí
CLI-001264,Cali,Estándar,Dos años,Efectivo,59,74.49,4066.36,1,0,5.4,2020-05-31,Colombia,Sí
CLI-001398,Bucaramanga,Básico,Mes a mes,Débito automático,47,73.15,3314.36,1,1,4.9,2021-11-02,Colombia,Sí
CLI-001630,Bogotá,Premium,Mes a mes,Transferencia,10,94.24,977.24,3,1,8.2,2019-02-07,Colombia,Sí
CLI-002833, bogotá ,Premium,Mes a mes,Tarjeta,22,48.36,1162.67,1,1,7.5,2019-06-12,Colombia,Sí
CLI-001353,Bogotá,Básico,Dos años,Transferencia,36,59.49,2108.36,3,1,5.6,2023-06-06,Colombia,No
CLI-002773,Bogotá,Premium,Dos años,Débito automático,15,45.98,651.1,1,1,5.4,2022-10-24,Colombia,No
CLI-000035,Bogotá,Básico,Mes a mes,Tarjeta,64,61.16,3880.01,0,1,7.9,2023-11-12,Colombia,No
CLI-000948,Bogotá,Premium,Un año,Transferencia,10,61.14,613.46,2,0,5.4,2020-09-02,Colombia,No
CLI-002237,Bogotá,Básico,Mes a mes,Tarjeta,18,52.52,951.57,3,0,7.7,2020-02-13,Colombia,No
CLI-002198,Medellín,Premium,Un año,Tarjeta,62,117.89,7115.76,2,1,,2022-06-01,Colombia,No
CLI-000451,Bogotá,Básico,Un año,Efectivo,69,50.49,3555.56,1,1,9.0,2021-05-05,Colombia,No
CLI-002643,Cali,Premium,Mes a mes,Tarjeta,15,50.55,774.5,2,0,4.0,2022-12-16,Colombia,Sí
CLI-001114,Cali,Estándar,Mes a mes,Efectivo,21,74.57,,2,1,6.3,2022-11-01,Colombia,Sí
CLI-000441,Cali,Básico,Mes a mes,Efectivo,70,56.14,4042.44,1,1,8.2,2022-07-03,Colombia,No
